date,time,size,version,os,country,ip_id
"2024-03-01","00:45:01",98117416,"4.3.2","osx","US",206
"2024-03-01","00:45:11",895993,"4.2.3","src","US",207
"2024-03-01","00:45:06",82686668,"4.3.2","win",NA,4
"2024-03-01","00:45:11",34048420,"4.2.3","src","US",207
"2024-03-01","00:45:20",82684924,"4.3.2","win","CN",208
"2024-03-01","00:45:34",82594005,"4.3.2","win","US",209
"2024-03-01","00:44:19",82594006,"4.3.2","win","US",210
"2024-03-01","00:45:42",82685086,"4.3.2","win","JP",211
"2024-03-01","00:45:40",98117416,"4.3.2","osx","US",212
"2024-03-01","00:45:40",95844889,"4.3.2","osx","US",213
"2024-03-01","14:35:58",95839193,"4.3.2","osx","DE",214
"2024-03-01","14:36:01",85946672,"devel","win","US",215
"2024-03-01","14:36:06",95839520,"4.3.2","osx","FR",216
"2024-03-01","14:36:08",162417,"4.2.3","src","US",217
"2024-03-01","14:36:11",630733,"4.2.3","src","US",218
"2024-03-01","14:36:13",82731433,"4.3.3","win",NA,4
"2024-03-01","14:36:18",82685168,"4.3.2","win",NA,4
"2024-03-01","14:36:07",82638373,"4.3.3","win","US",219
"2024-03-01","14:36:07",95838095,"4.3.2","osx","DE",214
"2024-03-01","14:36:15",4199368,"4.3.2","osx","CN",220
"2024-03-01","14:36:20",82731924,"4.3.3","win","MX",221
"2024-03-01","14:36:27",95839725,"4.3.2","osx",NA,4
"2024-03-01","14:36:23",35901799,"4.3.3","src","CA",222
"2024-03-01","14:36:37",95839841,"4.3.2","osx",NA,4
"2024-03-01","14:36:42",82730784,"4.3.3","win","CH",223
"2024-03-01","14:36:26",82732440,"4.3.3","win","US",224
"2024-03-01","14:36:41",82731550,"4.3.3","win","BR",225
"2024-03-01","14:36:53",82729804,"4.3.3","win",NA,4
"2024-03-01","14:36:44",84210654,"4.3.3","osx","US",30
"2024-03-01","14:36:52",95837636,"4.3.2","osx","ID",226
"2024-03-01","14:36:32",98227481,"4.3.2","osx","NO",227
"2024-03-01","14:36:55",82731741,"4.3.3","win",NA,4
"2024-03-01","14:36:53",82729389,"4.3.3","win","MX",221
"2024-03-01","14:37:08",18368403,"4.3.3","win","US",228
"2024-03-01","14:37:10",82730178,"4.3.3","win","US",228
"2024-03-01","14:35:19",82638374,"4.3.3","win",NA,4
"2024-03-01","14:37:25",82730948,"4.3.3","win","CA",222
"2024-03-01","14:36:29",84210654,"4.3.3","osx","US",178
"2024-03-01","14:37:11",82730956,"4.3.3","win","IT",229
"2024-03-01","14:37:26",82638374,"4.3.3","win","US",230
"2024-03-01","14:37:19",82731704,"4.3.3","win","IN",231
"2024-03-01","14:37:33",82729725,"4.3.3","win","ES",232
"2024-03-01","14:37:29",82730561,"4.3.3","win","ES",233
"2024-03-01","14:37:26",82730489,"4.3.3","win","JP",234
"2024-03-01","14:37:35",82730209,"4.3.3","win","JP",235
"2024-03-01","14:37:35",82729740,"4.3.3","win",NA,4
"2024-03-01","14:35:39",573,"4.3.3","win","US",236
"2024-03-01","14:37:28",84748071,"4.3.3patched","win",NA,4
"2024-03-01","14:37:46",82732891,"4.3.3","win",NA,4
"2024-03-01","14:37:50",82730507,"4.3.3","win","ES",232
"2024-03-01","14:37:50",1050225,"4.3.3","win","PH",237
"2024-03-01","14:37:49",6298891,"4.3.3","win","CN",238
"2024-03-01","14:37:01",82638373,"4.3.3","win","IE",239
"2024-03-01","14:37:46",82729678,"4.3.3","win","ES",232
"2024-03-01","14:37:50",573,"4.3.3","win","CN",238
"2024-03-01","14:37:58",17222521,"4.3.3","win","ES",232
"2024-03-01","14:37:59",82730209,"4.3.3","win","ES",232
"2024-03-01","14:37:54",82730937,"4.3.3","win","ES",232
"2024-03-01","14:37:53",95839428,"4.3.2","osx",NA,4
"2024-03-01","14:38:00",82638373,"4.3.3","win","US",240
"2024-03-01","14:36:11",82638373,"4.3.3","win","US",241
"2024-03-01","14:38:04",82729650,"4.3.3","win","ES",232
"2024-03-01","14:37:25",82684777,"4.3.2","win","ID",242
"2024-03-01","14:38:08",82730632,"4.3.3","win","MY",243
"2024-03-01","14:35:36",6298877,"4.3.3","win","US",236
"2024-03-01","14:38:14",1435045,"4.3.3","win","CN",244
"2024-03-01","14:38:03",84210654,"4.3.3","osx","US",153
"2024-03-01","14:38:08",82730974,"4.3.3","win",NA,4
"2024-03-01","14:38:22",82735907,"4.3.3","win",NA,4
"2024-03-01","14:38:31",95839122,"4.3.2","osx","US",245
"2024-03-01","14:38:41",82686635,"4.3.2","win",NA,4
"2024-03-01","14:38:37",82730793,"4.3.3","win","BR",246
"2024-03-01","14:38:41",82733015,"4.3.3","win","US",247
"2024-03-01","14:38:35",82638374,"4.3.3","win","KR",248
"2024-03-01","14:38:34",82733761,"4.3.3","win",NA,4
"2024-03-01","14:38:50",4766611,"4.3.3","win","PH",237
"2024-03-01","14:38:37",95844613,"4.3.2","osx","GB",249
"2024-03-01","14:38:51",82730009,"4.3.3","win","US",250
"2024-03-01","14:38:52",13370286,"4.3.3","win",NA,4
"2024-03-01","14:38:41",82638374,"4.3.3","win","US",251
"2024-03-01","14:38:53",82638373,"4.3.3","win","GB",252
"2024-03-01","14:38:00",82638370,"4.3.3","win","US",253
"2024-03-01","14:38:55",82638374,"4.3.3","win","CH",254
"2024-03-01","14:39:02",82732540,"4.3.3","win","ES",255
"2024-03-01","14:38:58",82730845,"4.3.3","win","BO",256
"2024-03-01","14:39:08",82638374,"4.3.3","win","US",257
"2024-03-01","14:39:09",28096308,"4.3.3","win","RO",258
"2024-03-01","14:39:13",82730470,"4.3.3","win","ES",232
"2024-03-01","14:39:08",82730495,"4.3.3","win",NA,4
"2024-03-01","14:39:17",82729777,"4.3.3","win","BR",259
"2024-03-01","14:39:15",82730200,"4.3.3","win","FR",260
"2024-03-01","14:39:15",82729884,"4.3.3","win","CO",261
"2024-03-01","14:39:23",84210655,"4.3.3","osx","US",262
"2024-03-01","14:39:15",82729885,"4.3.3","win","US",263
"2024-03-01","14:39:15",98117415,"4.3.2","osx","ES",264
"2024-03-01","14:39:18",95840426,"4.3.2","osx","CH",265
"2024-03-01","14:39:27",82731415,"4.3.3","win","JP",266
"2024-03-01","14:39:29",16468055,"4.3.3","win","ES",232
"2024-03-01","14:39:30",82729831,"4.3.3","win","ES",232
"2024-03-01","14:39:33",98225674,"4.3.2","osx","PL",267
"2024-03-01","14:39:42",84210656,"4.3.3","osx","US",268
"2024-03-01","14:39:40",82730174,"4.3.3","win","BR",269
"2024-03-01","14:39:53",82638374,"4.3.3","win","FR",270
"2024-03-01","14:39:39",98229445,"4.3.2","osx","CH",265
"2024-03-01","14:39:50",85946669,"devel","win","US",271
"2024-03-01","14:39:53",1821574,"4.3.3","win","CN",272
"2024-03-01","14:39:49",98228606,"4.3.2","osx",NA,4
"2024-03-01","14:39:02",81807959,"4.3.3","osx","US",273
"2024-03-01","14:39:22",84210655,"4.3.3","osx","US",274
"2024-03-01","14:39:54",82730398,"4.3.3","win",NA,4
"2024-03-01","14:39:47",84210655,"4.3.3","osx","US",91
"2024-03-01","14:39:09",84210655,"4.3.3","osx","US",275
"2024-03-01","14:38:51",82638373,"4.3.3","win","US",276
"2024-03-01","14:40:05",98226877,"4.3.2","osx","CA",277
"2024-03-01","14:39:46",84210655,"4.3.3","osx","US",278
"2024-03-01","14:40:11",82730747,"4.3.3","win","BR",279
"2024-03-01","14:40:11",24790109,"4.3.3","win","CN",280
"2024-03-01","14:40:21",35901619,"4.3.3","src","JP",281
"2024-03-01","14:40:21",95838456,"4.3.2","osx",NA,4
"2024-03-01","14:40:23",565,"4.3.3","osx","HK",58
"2024-03-01","14:40:06",82730794,"4.3.3","win","US",282
"2024-03-01","14:37:47",82638373,"4.3.3","win","US",283
"2024-03-01","14:40:29",82638373,"4.3.3","win","GB",252
"2024-03-01","14:37:28",82729235,"4.3.3","win",NA,4
"2024-03-01","14:38:29",82638373,"4.3.3","win","US",284
"2024-03-01","14:40:50",84210655,"4.3.3","osx","US",30
"2024-03-01","14:40:49",82730866,"4.3.3","win","BR",285
"2024-03-01","14:40:54",82729281,"4.3.3","win","NG",286
"2024-03-01","14:40:43",82729354,"4.3.3","win","JP",287
"2024-03-01","14:40:50",82730758,"4.3.3","win",NA,4
"2024-03-01","14:40:23",82730865,"4.3.3","win",NA,4
"2024-03-01","14:40:58",82732955,"4.3.3","win","US",288
"2024-03-01","14:40:57",82688451,"4.3.2","win","JP",289
"2024-03-01","14:41:00",82731073,"4.3.3","win","CZ",290
"2024-03-01","14:41:01",95732258,"4.3.2","osx","FR",291
"2024-03-01","01:06:05",98117415,"4.3.2","osx","US",162
"2024-03-01","01:05:52",98117414,"4.3.2","osx","US",292
"2024-03-01","01:06:19",82686786,"4.3.2","win",NA,4
"2024-03-01","01:06:30",82684750,"4.3.2","win","BR",293
"2024-03-01","01:06:26",82594005,"4.3.2","win","AU",294
"2024-03-01","01:06:34",95842484,"4.3.2","osx","US",295
"2024-03-01","01:06:32",82690180,"4.3.2","win","AR",296
